Symptom,weight
itching,1
skin_rash,2
nodal_skin_eruptions,2
continuous_sneezing,2
shivering,2
chills,3
joint_pain,1
stomach_pain,2
acidity,3
ulcers_on_tongue,2
muscle_wasting,3
vomiting,3
burning_micturition,2
spotting_urination,2
fatigue,1
weight_gain,3
anxiety,2
cold_hands_and_feets,2
mood_swings,3
weight_loss,3
restlessness,2
lethargy,2
patches_in_throat,2
irregular_sugar_level,2
cough,2
high_fever,4
sunken_eyes,3
breathlessness,5
sweating,3
dehydration,2
indigestion,2
headache,1
yellowish_skin,3
dark_urine,2
nausea,2
loss_of_appetite,2
pain_behind_the_eyes,2
back_pain,3
constipation,2
abdominal_pain,2
diarrhoea,2
mild_fever,2
yellow_urine,2
yellowing_of_eyes,2
acute_liver_failure,2
fluid_overload,2
swelling_of_stomach,2
swelled_lymph_nodes,2
malaise,2
blurred_and_distorted_vision,2
phlegm,2
throat_irritation,2
redness_of_eyes,2
sinus_pressure,2
runny_nose,1
congestion,2
chest_pain,5
weakness_in_limbs,2
fast_heart_rate,2
pain_during_bowel_movements,2
pain_in_anal_region,2
bloody_stool,2
irritation_in_anus,2
neck_pain,2
dizziness,2
cramps,2
bruising,2
obesity,2
swollen_legs,2
swollen_blood_vessels,2
puffy_face_and_eyes,2
enlarged_thyroid,2
brittle_nails,2
swollen_extremeties,2
excessive_hunger,2
extra_marital_contacts,2
drying_and_tingling_lips,2
slurred_speech,5
knee_pain,3
hip_joint_pain,2
muscle_weakness,2
stiff_neck,4
swelling_joints,2
movement_stiffness,2
spinning_movements,2
loss_of_balance,2
unsteadiness,2
weakness_of_one_body_side,2
loss_of_smell,3
bladder_discomfort,2
foul_smell_ofurine,2
continuous_feel_of_urine,2
passage_of_gases,2
internal_itching,2
toxic_look_(typhos),2
depression,3
irritability,2
muscle_pain,2
altered_sensorium,2
red_spots_over_body,3
belly_pain,2
abnormal_menstruation,2
dischromic_patches,2
watering_from_eyes,2
increased_appetite,2
polyuria,2
family_history,2
mucoid_sputum,2
rusty_sputum,2
lack_of_concentration,3
visual_disturbances,3
receiving_blood_transfusion,2
receiving_unsterile_injections,2
coma,2
stomach_bleeding,2
distention_of_abdomen,2
history_of_alcohol_consumption,2
fluid_overload,2
blood_in_sputum,2
prominent_veins_on_calf,2
palpitations,2
painful_walking,2
pus_filled_pimples,2
blackheads,2
scurring,2
skin_peeling,3
silver_like_dusting,2
small_dents_in_nails,2
inflammatory_nails,2
blister,2
red_sore_around_nose,2
yellow_crust_ooze,3
prognosis,2
